Placemark,LL Lon,LL Lat,UR Lon,UR Lat
200_31,-3.217,41.121,-0.409,42.382
200_32,-3.646,39.69,-0.905,40.96
200_33,-4.064,38.258,-1.383,39.536
200_34,-4.47,36.825,-1.846,38.111
200_35,-4.865,35.39,-2.295,36.684
201_31,-4.762,41.121,-1.954,42.382
201_32,-5.191,39.69,-2.45,40.96
201_33,-5.609,38.258,-2.928,39.536
201_34,-6.015,36.825,-3.391,38.111
201_35,-6.41,35.39,-3.84,36.684
202_31,-6.307,41.121,-3.499,42.382
202_32,-6.737,39.69,-3.995,40.96
202_33,-7.154,38.258,-4.473,39.536
202_34,-7.56,36.825,-4.936,38.111
202_35,-7.955,35.39,-5.385,36.684
203_31,-7.852,41.121,-5.044,42.382
203_32,-8.282,39.69,-5.54,40.96
203_33,-8.699,38.258,-6.019,39.536
203_34,-9.105,36.825,-6.481,38.111
203_35,-9.5,35.39,-6.93,36.684
204_31,-9.397,41.121,-6.589,42.382
204_32,-9.827,39.69,-7.085,40.96
204_33,-10.244,38.258,-7.564,39.536
204_34,-10.65,36.825,-8.026,38.111
204_35,-11.045,35.39,-8.475,36.684
205_31,-10.942,41.121,-8.134,42.382
205_32,-11.372,39.69,-8.63,40.96
205_33,-11.789,38.258,-9.109,39.536
205_34,-12.195,36.825,-9.571,38.111
205_35,-12.59,35.39,-10.02,36.684
